trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
662,False,"{'a': 0.6, 'e': 0.3379999999999994}",30,8,-7.1077164558864006,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
663,False,"{'a': 0.6, 'e': 0.3369999999999994}",25,12,19.112933698778313,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.6, 'e': 0.3359999999999994}",25,0,-66.50292337210877,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
665,False,"{'a': 0.6, 'e': 0.3349999999999994}",20,5,10.62870607967561,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
666,False,"{'a': 0.6, 'e': 0.3339999999999994}",35,19,8.559843943675684,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
667,False,"{'a': 0.6, 'e': 0.3329999999999994}",35,22,-17.26281174578314,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
668,False,"{'a': 0.6, 'e': 0.3319999999999994}",20,12,11.73163203504419,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.6, 'e': 0.3309999999999994}",20,8,22.717604790454754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.6, 'e': 0.3299999999999994}",25,8,15.440423789088431,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
671,False,"{'a': 0.6, 'e': 0.3289999999999994}",25,5,-15.27725211597482,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
672,False,"{'a': 0.6, 'e': 0.3279999999999994}",20,0,1.242405364468846,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
673,False,"{'a': 0.6, 'e': 0.3269999999999994}",20,10,8.11924679095311,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.6, 'e': 0.3259999999999994}",20,0,17.460692850264856,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
675,False,"{'a': 0.6, 'e': 0.3249999999999994}",25,16,10.708523150626796,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.6, 'e': 0.3239999999999994}",25,12,14.282737963793279,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.6, 'e': 0.3229999999999994}",25,9,1.7499107725534295,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
678,False,"{'a': 0.6, 'e': 0.3219999999999994}",30,2,-82.3056978736375,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 2}",1
679,False,"{'a': 0.6, 'e': 0.3209999999999994}",20,16,9.453232279709347,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.6, 'e': 0.3199999999999994}",30,14,-19.716852739850896,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
681,False,"{'a': 0.6, 'e': 0.3189999999999994}",20,0,-10.318482005743046,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
682,False,"{'a': 0.6, 'e': 0.3179999999999994}",25,13,-3.1125490706603944,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
683,False,"{'a': 0.6, 'e': 0.3169999999999994}",25,19,-27.741915936493545,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
684,False,"{'a': 0.6, 'e': 0.3159999999999994}",30,17,-1.7950629894956676,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
685,False,"{'a': 0.6, 'e': 0.3149999999999994}",20,5,13.77124614539957,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
686,False,"{'a': 0.6, 'e': 0.3139999999999994}",20,0,12.55895416371105,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
687,False,"{'a': 0.6, 'e': 0.3129999999999994}",25,1,-14.120922481794194,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
688,False,"{'a': 0.6, 'e': 0.3119999999999994}",20,14,10.478817437703164,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.6, 'e': 0.3109999999999994}",25,12,0.8233736726105316,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
690,False,"{'a': 0.6, 'e': 0.3099999999999994}",30,20,18.373614678338942,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.6, 'e': 0.3089999999999994}",30,0,-4.116100728158634,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
692,False,"{'a': 0.6, 'e': 0.3079999999999994}",20,0,20.38050625214207,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
693,False,"{'a': 0.6, 'e': 0.3069999999999994}",25,20,9.158496945139706,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.6, 'e': 0.3059999999999994}",20,0,-19.172347767611793,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
695,False,"{'a': 0.6, 'e': 0.3049999999999994}",35,21,8.2791372385589,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
696,False,"{'a': 0.6, 'e': 0.3039999999999994}",20,0,-23.628616017843708,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
697,False,"{'a': 0.6, 'e': 0.3029999999999994}",25,3,-6.133845784550252,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
698,False,"{'a': 0.6, 'e': 0.3019999999999994}",20,13,-7.457991617889065,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.6, 'e': 0.3009999999999994}",20,0,-61.467300959374214,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
700,False,"{'a': 0.6, 'e': 0.2999999999999994}",20,6,1.9502121665133527,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
701,False,"{'a': 0.6, 'e': 0.2989999999999994}",20,15,12.66035271027356,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.6, 'e': 0.2979999999999994}",30,6,-85.77277557669905,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 2}",1
703,False,"{'a': 0.6, 'e': 0.2969999999999994}",20,9,10.295580208518446,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.6, 'e': 0.2959999999999994}",20,11,-4.035774774346797,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
